ANO,MES,KG_s,FOB_s,KG_k,FOB_k
1997,6,53883760.0,17134952.0,4698701.000000016,599606.0
1997,8,53802766.5,16946207.0,5124322.000000009,663149.5
1997,9,42982929.0,13328405.333333334,7047241.333333342,908498.0
1998,5,39330896.75,11677511.0,7297897.0000000065,951431.5
1998,6,47905456.75,12548511.75,10718007.000000007,1804378.75
1998,7,50841541.4,12961551.0,9274405.600000007,1542203.0
1998,8,58386448.6,13881346.8,10151277.00000001,1672266.6
1998,9,62199213.6,14495601.0,9572182.600000013,1617960.2
1998,10,67255544.33333333,15513653.666666666,8653985.500000011,1444930.6666666667
1998,11,62143711.0,14270188.142857144,9644356.142857153,1543107.5714285714
2000,3,25300300.0,4890548.0,3037724.0000000065,414946.0
2000,8,32791333.0,6095111.0,7768862.000000006,1092695.5
2000,9,24310888.666666668,4513546.0,14296814.33333333,1994238.3333333333
2001,7,27329588.666666668,4976568.666666667,17472328.999999996,2462307.6666666665
2001,9,38677750.0,7032817.0,22996968.499999993,3085710.5
2002,8,41749450.0,7830491.0,34831776.49999999,4375132.0
2003,6,30864900.0,6131770.0,26033336.0,3169497.0
2003,7,29363200.0,5999485.333333333,21812771.0,2689827.6666666665
2003,8,17529933.333333332,3768780.6666666665,20316476.33333333,2540109.3333333335
2004,7,42418430.0,13095383.0,19438980.49999999,2467855.0
2004,8,85783455.0,26042836.5,20050822.999999993,2996555.5
2004,9,76630333.33333333,23613640.333333332,25317027.99999999,4003432.3333333335
2004,10,81381480.0,24596846.0,35795012.749999985,5889312.0
2004,11,75629364.0,22487984.2,32993847.99999999,5475878.6
2005,7,79620024.8,22073585.2,32429944.599999987,5456101.2
2005,8,82639515.4,21799935.8,26637796.199999996,4618912.2
2005,9,95615587.2,24116013.2,25109985.6,4549733.6
2005,10,99116056.0,24155862.6,15351609.600000005,2995496.8
2005,11,103928837.4,25307564.8,12988571.800000006,2652379.4
2005,12,95491081.0,23370699.833333332,18183176.5,3706554.5
2006,1,89720392.28571428,21987749.85714286,16870337.714285713,3444066.1428571427
2006,2,83161283.5,20409937.625,15226230.5,3104168.375
2006,4,74084688.0,18187479.111111112,14506642.222222226,2936559.6666666665
2006,5,66833858.2,16404918.8,14217831.800000008,2857742.0
2006,6,62702288.63636363,15328611.818181818,13562048.454545463,2714413.090909091
2006,7,65302371.63636363,15826840.909090908,13827532.727272736,2750676.0
2006,8,61066279.90909091,14722364.454545455,13813174.272727279,2742910.8181818184
2006,9,54855113.27272727,13114469.090909092,14261696.181818185,2760468.272727273
2006,10,50122154.81818182,11848913.0,13244803.81818182,2531037.0
2006,11,48951368.36363637,11348302.090909092,15681308.272727279,2946735.909090909
2006,12,44614405.45454545,10227268.0,12220957.454545463,2230779.5454545454
2007,2,40483927.5,9115572.4,12987533.100000007,2333134.3
2007,4,40393480.8,9091691.3,12844912.000000006,2306976.0
2007,5,45267342.0,10303496.0,12286899.000000004,2219008.4
2007,6,54916095.2,12917116.4,13014777.500000004,2399315.6
2007,7,55784357.0,13635442.6,14679773.200000003,2813159.7
2007,8,59270528.3,14921074.5,14884775.600000003,2859287.2
2007,9,64986794.7,16762821.8,15356424.600000005,3206265.7
2007,11,70135922.66666667,19266038.444444444,14593332.55555556,3344367.5555555555
2007,12,75564252.77777778,21265227.555555556,16271475.000000004,3857928.4444444445
2008,1,70880349.5,20291513.9,17809413.0,4350260.1
2008,6,91167818.42857143,29287658.285714287,27123216.285714276,8546888.142857144
2008,7,102613832.0,37654012.428571425,25140137.285714276,8604310.285714285
2008,8,108966933.14285715,43857137.85714286,27334508.999999993,10426803.857142856
2008,9,117741761.28571428,52603466.28571428,27273382.428571414,13031100.42857143
2008,10,123812929.5,56232221.25,26805571.999999985,13902023.125
2008,11,120700147.5,56725822.125,28614963.37499998,17317997.125
2009,5,132085700.57142857,62697860.14285714,25873844.142857127,18251605.57142857
2009,7,142065074.66666666,66929619.5,26007510.499999985,20450692.666666668
2009,9,143902521.6,63660962.6,27073836.79999999,20702998.4
2009,10,177453011.4,77727275.4,27423192.799999993,19473418.0
2009,11,183101088.6,79641591.4,21568325.2,13477854.4
2009,12,153815034.83333334,66877541.666666664,19148271.000000004,11859387.666666666
2010,4,132136857.0,57439759.28571428,17428197.85714286,10615141.857142856
2010,5,138912511.2857143,59759986.571428575,18018672.57142857,10604387.0
2010,6,162807630.0,67331153.0,17020981.0,9721424.375
2010,7,170518731.625,68503920.25,16888448.375,8152059.875
2010,8,182757689.44444445,72768294.55555555,17879419.777777776,8220523.888888889
2010,9,184094894.66666666,72432466.77777778,14803171.888888886,6116358.777777778
2010,10,173447247.2222222,66530700.55555555,16298923.333333327,6033042.444444444
2010,11,175416729.66666666,67359935.1111111,18804287.33333333,6749837.555555556
2010,12,177025433.1111111,68154605.33333333,22889271.111111104,8036964.666666667
2011,1,161446894.3,62407519.1,21404861.099999994,7515363.3
2011,5,180820544.55555555,71314198.0,26432020.33333332,9439717.888888888
2011,6,172181412.1111111,71655012.77777778,31579107.777777757,11801954.0
2011,7,172156762.66666666,75834388.55555555,31973826.666666646,12330071.0
2011,8,171467462.44444445,78829236.22222222,33933101.33333331,13688583.666666666
2011,9,197900573.55555555,94525878.22222222,36761184.55555554,15373541.333333334
2011,10,209783705.44444445,102188014.1111111,38500555.99999998,17111512.0
2011,11,201105990.2222222,98987411.8888889,39674450.33333331,18280459.666666668
2012,1,221749310.375,109221716.125,39165589.74999998,18827234.875
2012,5,237045058.125,118044246.375,38453506.87499997,18802071.25
2012,6,250615352.0,126944011.5,35742930.62499998,17831554.0
2012,7,257104001.625,132173083.125,44788355.87499997,22392801.0
2012,8,268664630.5,139442787.75,43577210.37499997,21879651.875
2012,11,223695399.83333334,119503729.83333333,42187528.333333306,20791450.666666668
2013,5,304800485.8,163060337.2,42897017.799999975,21139065.4
2013,6,295767071.0,157129062.0,44744184.99999997,21272789.8
2013,7,275518731.8,146519746.8,29693878.199999988,13381648.8
2013,8,252106686.2,135415176.8,34867126.19999999,15009383.4
2013,9,250939399.33333334,134861877.83333334,33759515.16666666,14423066.166666666
2013,10,227141104.14285713,122044715.71428572,32373032.142857134,13677290.714285715
2013,12,224766027.14285713,120318844.42857143,32907264.714285705,13299314.0
2014,3,198163983.125,106016877.375,31920702.24999999,12549890.125
2014,4,187399600.33333334,100263579.33333333,30756037.777777772,11854100.222222222
2014,5,163078217.55555555,86588173.8888889,31440825.55555555,11982433.666666666
2014,6,167092604.44444445,88498502.22222222,31910854.33333332,11623719.555555556
2014,7,172644355.8888889,90667312.33333333,32236966.888888877,11318834.555555556
2014,8,181359218.0,94464525.66666667,35964357.77777776,11763313.111111112
2014,9,170209642.7777778,88069380.66666667,39566781.2222222,12711010.888888888
2014,10,186371992.0,96327766.66666667,40328597.888888866,12832461.222222222
