ANO,MES,KG_s,FOB_s
1997,5,53883760,17134952
1997,6,50606333,16047076
1997,7,53721773,16757462
1997,8,21343254,6092802
1998,4,28374800,6724828
1998,5,88182000,20618955
1998,6,62585880,14613708
1998,7,91446309,21356441
1998,8,40407079,9164073
1998,9,92537198,20603917
1998,10,31472711,6809395
1999,5,49370300,8956431
2000,2,25300300,4890548
2000,6,35641000,6935739
2000,7,40282366,7299674
2000,8,7350000,1350416
2001,2,93410,30078
2001,6,34356400,6279616
2001,8,42999100,7786018
2002,7,40499800,7874964
2003,5,21230000,4388576
2003,6,26359800,5734916
2003,7,5000000,1182850
2004,6,79836860,25007916
2004,7,91730050,27077757
2004,8,58324090,18755248
2004,9,95634920,27546463
2004,10,52620900,14052537
2005,5,34916020,7921012
2005,6,99790164,22935921
2005,7,106827503,25709510
2005,8,123204449,30335635
2005,9,113137264,27745710
2005,10,76684807,19811048
2005,11,53302299,13686375
2005,12,55096260,13690050
2006,1,37247522,9365252
2006,2,3350,771
2006,3,1471924,407811
2006,4,1576390,361876
2006,5,21386593,4565542
2006,6,128391077,28416441
2006,7,60230494,13560269
2006,8,54881616,12648786
2006,9,61074721,13824593
2006,10,63806156,14304328
2006,11,5595707,1355000
2006,12,13040758,3470309
2007,1,6424597,1711078
2007,2,72050,18823
2007,3,567457,169000
2007,4,50315002,12479923
2007,5,117874125,30701746
2007,6,137073695,35599703
2007,7,95092207,26416588
2007,8,112044280,31066259
2007,10,106236234,33895049
2007,11,54450678,19347702
2007,12,28725220,11528091
2008,5,104552415,47160216
2008,6,217195790,94164182
2008,7,139563915,69838466
2008,8,173468077,92290558
2008,9,166311107,81633506
2008,10,81333978,37843856
2008,11,57615297,21560332
2008,12,11000000,4070000
2009,1,27862423,10007145
2009,2,4533275,1722645
2009,3,59005775,22313964
2009,4,42174622,15954237
2009,5,195124614,71084467
2009,6,249538749,104017094
2009,7,320051705,138424357
2009,8,180154152,78856120
2009,9,334063556,151965070
2009,10,109574364,47415436
2009,11,7384766,3057293
2010,3,2067790,813065
2010,4,89604202,32195828
2010,5,330073461,120329318
2010,6,311227562,113399232
2010,7,280669352,106883289
2010,8,192188999,75833670
2010,9,238234729,98849174
2010,10,127299706,54878547
2010,11,21863097,10209325
2010,12,21240045,10683743
2011,4,104587950,50761484
2011,5,252321269,123396651
2011,6,311005717,151013614
2011,7,274465650,133836918
2011,8,430086999,217103448
2011,9,345182916,167808397
2011,10,49200269,26073127
2011,11,160502601,78331840
2011,12,7143713,3780090
2012,3,513199,280207
2012,4,226953932,121341726
2012,5,360883620,194594772
2012,6,362914914,192846187
2012,7,366950681,191994555
2012,8,220090428,121575186
2012,9,176960561,103356273
2012,10,17325539,12465049
2013,3,4500000,2377395
2013,4,415927675,223401123
2013,5,315716546,164938396
2013,6,261673218,139799611
2013,7,249890453,136471705
2013,8,245102965,132095383
2013,9,84351333,45141743
2013,11,700000,383950
2014,2,11949675,5903108
2014,3,101284538,54237195
2014,4,197035230,100322474
2014,5,351846028,182131351
2014,6,311638981,159318902
2014,7,328324212,170646625
2014,8,144756788,74539078
2014,9,229812476,119467217
2014,10,46205696,23585084
2014,11,2298200,1131818
2015,3,50533898,19767737
2015,4,280292874,108533120
2015,5,268055397,103676773
2015,6,321722492,125800507
2015,7,372132336,144165857
2015,8,339733186,132219253
2015,9,355228451,136107436
2015,10,383904316,146209094
2015,11,146037126,55028982
2015,12,92227556,37411389
2016,3,106983442,38073143
2016,4,319234647,112692244
2016,5,352879352,127584289
2016,6,82706455,31078328
2016,7,79793201,31679788
2016,8,247868791,95670066
2016,9,71853729,29465625
2016,10,70342795,28000353
2016,12,70405782,29215831
2017,1,1415217,559879
2017,2,2780000,1098660
2017,3,175943528,70106615
2017,4,301015884,115441178
2017,5,460764858,170606066
2017,6,369468355,136455765
2017,7,290662209,106577755
2017,8,537651279,204615842
2017,9,322326410,123441594
2017,10,321316222,121258990
2017,11,171750559,65152509
2017,12,141749248,53261725
2018,1,11357360,4111954
2018,2,29507738,11246741
2018,3,190775222,76332544
2018,4,233949677,95958122
2018,5,385286089,158635333
2018,6,233778392,94732972
2018,7,515603399,205076123
2018,8,533921849,210102221
2018,9,312900272,121489384
2018,10,518043618,201381735
2018,11,553006053,215237355
2018,12,493681704,192861062
2019,1,160792401,63163810
2019,2,71483947,27740107
2019,3,99626907,35164860
2019,4,213298924,74883427
2019,5,394162856,137230200
2019,6,236276911,79332702
2019,7,219581341,75643912
2019,8,484777535,167177796
2019,9,529098603,184743592
2019,10,535572700,189170114
2019,11,292956753,106679240
2019,12,15196703,5625505
2020,1,21131163,7632293
2020,2,4044796,1379529
2020,3,180683032,61121691
2020,4,402980980,136332136
2020,5,321531666,107016072
2020,6,408576381,137655548
2020,7,515595649,175866610
2020,8,431317151,152059002
2020,9,410360866,147451561
2020,10,586289277,219279503
2020,11,407313682,154811519
2020,12,70957268,25033014
2021,2,6484526,2447249
2021,3,126342304,56556096
2021,4,453936844,193678029
2021,5,489052437,209921814
2021,6,569825527,274579857
2021,7,471941163,218308120
2021,8,571740668,284234391
2021,9,583221278,305558649
2021,10,342719110,177276434
2021,11,208739026,110831653
2021,12,166061242,82593555
2022,1,141274731,66014769
2022,2,63127606,32439985
2022,3,371272435,209163744
2022,4,364804139,223847321
2022,5,530224742,343676628
2022,6,422220111,261828067
2022,7,433492041,282846076
2022,8,538400130,349214487
2022,9,663312457,414892785
2022,10,351633828,213603222
2022,11,358619242,217564105
2022,12,282476764,174954360
2023,1,70763241,42816315
2023,2,69451240,39569469
2023,3,335886178,187055096
2023,4,297717070,160462129
2023,5,429636953,231849646
2023,6,484002496,246939593
2023,7,436985830,217482842
2023,8,470179952,234248241
2023,9,507758313,260493023
2023,10,402357146,215518481
