ANO,MES,NCM,KG,oc,date
1997,5,31021010-0,13539579.000000004,1,862444800000000000
1997,5,31022100-0,35695950.00000006,1,862444800000000000
1997,5,31042090-0,38455649.00000002,1,862444800000000000
1997,5,31054000-0,38655970.0000001,1,862444800000000000
1997,5,31055900-0,0.0,0,862444800000000000
1997,5,31059090-0,0.0,0,862444800000000000
1997,11,31021010-0,2532438.0000000084,1,878342400000000000
1997,11,31022100-0,4095347.0000000056,1,878342400000000000
1997,11,31042090-0,23996495.00000001,1,878342400000000000
1997,11,31054000-0,35014956.00000005,1,878342400000000000
1997,11,31055900-0,0.0,0,878342400000000000
1997,11,31059090-0,0.0,0,878342400000000000
1998,5,31021010-0,14064898.000000026,1,893980800000000000
1998,5,31022100-0,19246462.00000003,1,893980800000000000
1998,5,31042090-0,59460629.00000008,1,893980800000000000
1998,5,31054000-0,60617614.000000015,1,893980800000000000
1998,5,31055900-0,0.0,0,893980800000000000
1998,5,31059090-0,0.0,0,893980800000000000
1998,11,31021010-0,0.0,0,909878400000000000
1998,11,31022100-0,29183333.00000001,1,909878400000000000
1998,11,31042090-0,16066000.000000011,1,909878400000000000
1998,11,31054000-0,17101840.000000007,1,909878400000000000
1998,11,31055900-0,0.0,0,909878400000000000
1998,11,31059090-0,0.0,0,909878400000000000
1999,5,31021010-0,0.0,0,925516800000000000
1999,5,31022100-0,31082166.000000022,1,925516800000000000
1999,5,31042090-0,54481209.000000045,1,925516800000000000
1999,5,31054000-0,51642683.00000005,1,925516800000000000
1999,5,31055900-0,0.0,0,925516800000000000
1999,5,31059090-0,0.0,0,925516800000000000
1999,11,31021010-0,12235821.000000004,1,941414400000000000
1999,11,31022100-0,15428801.0,1,941414400000000000
1999,11,31042090-0,41795847.000000015,1,941414400000000000
1999,11,31054000-0,35713543.999999985,1,941414400000000000
1999,11,31055900-0,0.0,0,941414400000000000
1999,11,31059090-0,0.0,0,941414400000000000
2000,5,31021010-0,70128001.99999997,1,957139200000000000
2000,5,31022100-0,42588935.000000015,1,957139200000000000
2000,5,31042090-0,64184231.99999999,1,957139200000000000
2000,5,31054000-0,63025472.00000008,1,957139200000000000
2000,5,31055900-0,0.0,0,957139200000000000
2000,5,31059090-0,0.0,0,957139200000000000
2000,11,31021010-0,20878142.99999998,1,973036800000000000
2000,11,31022100-0,18744822.00000003,1,973036800000000000
2000,11,31042090-0,23212400.00000002,1,973036800000000000
2000,11,31054000-0,17159841.000000007,1,973036800000000000
2000,11,31055900-0,0.0,0,973036800000000000
2000,11,31059090-0,0.0,0,973036800000000000
2001,5,31021010-0,43960088.99999997,1,988675200000000000
2001,5,31022100-0,35016320.00000003,1,988675200000000000
2001,5,31042090-0,107972327.99999996,1,988675200000000000
2001,5,31054000-0,86301192.00000003,1,988675200000000000
2001,5,31055900-0,0.0,0,988675200000000000
2001,5,31059090-0,0.0,0,988675200000000000
2001,11,31021010-0,27972377.0,1,1004572800000000000
2001,11,31022100-0,0.0,0,1004572800000000000
2001,11,31042090-0,15310424.000000011,1,1004572800000000000
2001,11,31054000-0,7886485.0,1,1004572800000000000
2001,11,31055900-0,0.0,0,1004572800000000000
2001,11,31059090-0,0.0,0,1004572800000000000
2002,5,31021010-0,11725069.000000006,1,1020211200000000000
2002,5,31022100-0,18629438.00000002,1,1020211200000000000
2002,5,31042090-0,109116597.0,1,1020211200000000000
2002,5,31054000-0,94744019.0,1,1020211200000000000
2002,5,31055900-0,0.0,0,1020211200000000000
2002,5,31059090-0,0.0,0,1020211200000000000
2002,11,31021010-0,62510815.99999994,1,1036108800000000000
2002,11,31022100-0,11460960.000000007,1,1036108800000000000
2002,11,31042090-0,18342590.0,1,1036108800000000000
