ANO,MES,NCM,PAIS,URF,KG,FOB,FRETE,SEGURO
1997,1,31042090,23,517600,59400,10128,5824,41
1997,3,31022100,249,510100,4003056,385794,72000,1574
1997,3,31022100,249,517600,2001528,194148,36000,1393
1997,4,31021010,603,510100,531376,98305,5250,500
1997,4,31022100,23,510100,4121450,403784,40720,1099
1997,4,31022100,23,517600,2024292,216599,20000,1132
1997,4,31022100,249,510100,4903750,475646,88218,0
1997,4,31042090,23,517600,39600,6222,3405,26
1997,4,31042090,275,510100,1973189,254541,24000,0
1997,4,31042090,676,510100,1006493,129838,12600,0
1997,4,31042090,676,517600,4025970,514318,50400,2276
1997,4,31054000,676,510100,3515344,784030,42990,663
1997,5,31022100,23,510100,3677529,378785,36950,1219
1997,5,31022100,23,517600,525000,54075,5250,16
1997,5,31042090,676,510100,2088312,269392,24000,1126
1997,5,31042090,676,517600,2610389,330214,30000,1041
1997,5,31054000,676,510100,2038700,432204,24464,0
1997,6,31042090,23,517600,69300,10832,5927,81
1997,6,31042090,676,510100,1044156,132608,12000,0
1997,6,31054000,249,510100,3072949,669608,40875,1041
1997,6,31054000,249,517600,1918149,427747,22800,0
1997,6,31054000,538,510100,3498922,741771,70000,0
1997,6,31054000,676,517600,959074,213982,11400,1357
1997,7,31042090,676,510100,5549943,726693,66573,2382
1997,7,31054000,676,510100,6288907,1402427,75414,4050
1997,7,31054000,676,517600,2422498,539006,29004,3445
1997,8,31022100,149,517600,3153587,324819,37800,2202
1997,8,31022100,249,510100,10510163,1065343,126000,4517
1997,8,31022100,538,510100,8441,660063,101400,0
1997,8,31022100,676,510100,4002883,388280,48000,1516
1997,8,31022100,791,510100,4756804,436816,56400,287
1997,8,31042090,23,517600,69300,9815,5474,41
1997,8,31042090,676,510100,10823780,1389380,129888,2820
1997,8,31054000,442,510100,1201608,275168,14400,0
1997,8,31054000,442,517600,651162,135442,7803,0
1997,8,31054000,676,510100,4141956,913384,48475,2095
1997,8,31054000,676,517600,5296784,1203276,62100,5405
1997,8,31054000,767,510100,1033829,237781,12000,0
1997,9,31022100,23,517600,1000000,81000,12000,300
1997,9,31054000,676,510100,4309960,976205,50400,630
1997,9,31054000,676,517600,1821472,411653,21300,2127
1997,10,31021010,111,517600,1013193,118544,12000,784
1997,10,31021010,676,517600,12526386,1325688,195000,1189
1997,10,31022100,249,517600,6788695,539730,81363,2682
1997,10,31022100,676,517600,1272848,91280,15069,311
1997,10,31042090,23,517600,69300,11017,5509,44
1997,10,31042090,676,517600,17244625,2268621,205982,8389
1997,11,31021010,676,517600,2532438,296295,29994,0
1997,11,31042090,767,517600,10742193,1452907,126000,5189
1997,11,31054000,249,517600,4712467,1066703,47250,4541
1997,11,31054000,442,517600,1497308,339857,18000,0
1997,11,31054000,831,517600,4603711,1040340,55344,1869
1997,12,31022100,249,517600,4095347,274388,50398,1194
1997,12,31042090,23,517600,46200,7329,3664,29
1997,12,31042090,275,517600,4499308,602899,54000,896
1997,12,31042090,383,517600,8708794,1203914,104400,4596
1997,12,31054000,249,517600,604911,125880,7200,373
1997,12,31054000,676,517600,6959335,1578894,78767,7932
1998,1,31054000,249,517600,2621315,595294,31200,780
1998,1,31054000,676,510100,2119678,482533,25230,687
1998,1,31054000,676,517600,1008150,228948,12000,687
1998,1,31054000,831,517600,10888081,2470303,130500,5628
1998,2,31042090,23,517600,69300,10610,5835,40
1998,2,31054000,831,517600,5165947,1150276,61988,566
1998,3,31042090,23,517600,69300,10610,5835,40
1998,4,31022100,249,517600,12600067,692972,151549,3062
1998,4,31042090,676,517600,8049864,1080232,96000,4377
1998,5,31021010,249,517600,4521160,442989,54000,1777
1998,5,31042090,149,517600,12500,1487500,150000,1965
1998,5,31042090,383,517600,4541333,639000,54000,3330
1998,5,31042090,676,517600,3150000,428400,37800,2833
1998,5,31042090,767,517600,10675308,1456495,126000,6065
1998,5,31054000,493,517600,475000,95475,5700,600
1998,6,31022100,23,517600,3000000,174000,36000,900
1998,6,31022100,249,517600,11737680,639797,140977,3195
1998,6,31042090,23,517600,3500000,493500,42000,1050
1998,6,31054000,249,517600,23285664,5317739,263419,11894
1998,6,31054000,493,517600,1425000,286425,17100,470
1998,6,31054000,831,517600,2520000,586320,30240,1219
1998,7,31042090,23,517600,69300,10721,5897,41
1998,7,31042090,676,517600,4915000,683190,58980,0
1998,7,31042090,767,517600,4950000,683100,59400,2733
1998,7,31054000,249,517600,6540616,1447517,88980,2950
1998,8,31042090,85,517600,2999103,422874,36000,900
1998,8,31042090,767,517600,4998505,704789,60000,2798
1998,9,31022100,87,517600,2000000,113000,24000,510
1998,9,31042090,23,517600,4063000,579783,53517,1526
1998,9,31054000,676,517600,10841334,2418994,108430,4891
1998,9,31054000,831,517600,8075000,1660600,96900,3279
1998,10,31021010,249,517600,26238,2282675,209898,1745
1998,10,31021010,676,517600,4952500,505155,39620,1285
1998,10,31021010,831,517600,4565000,465630,36520,1210
1998,10,31022100,23,517600,1508782,87509,18000,450
1998,10,31022100,249,517600,1000000,45040,12000,0
1998,10,31042090,85,517600,3436580,443319,41239,2217
1998,10,31042090,275,517600,3000000,426000,36000,0
1998,10,31042090,676,517600,9150000,1262850,109800,6246
1998,10,31054000,676,517600,5900000,1312900,70800,4570
1998,10,31054000,831,517600,2030000,452691,24359,0
1998,11,31021010,249,517600,25000,1937029,241721,1475
1998,11,31022100,249,517600,11099968,645698,133200,2956
1998,11,31042090,23,517600,63000,11469,5868,0
1998,11,31042090,149,517600,10003000,1280384,120036,1681
1998,12,31022100,87,517600,2500000,157500,30000,757
1998,12,31022100,249,517600,6090662,347758,72000,1287
1998,12,31042090,23,517600,6000000,869500,72000,2107
1998,12,31054000,249,517600,4000000,828000,48000,1236
1998,12,31059090,538,517600,60000,12777,723,0
1999,1,31022100,275,517602,667660,32048,7852,0
1999,1,31022100,676,517602,8825043,476003,70600,1436
1999,1,31042090,23,517600,63000,11348,5806,55
1999,1,31054000,676,517602,968206,219783,7746,290
1999,1,31054000,831,517602,12133634,2647164,135902,4843
1999,1,31059090,573,517600,7644,13392,324,0
1999,2,31022100,87,517602,3000000,174000,36000,601
1999,2,31042090,23,517602,2000000,289000,24000,600
1999,2,31042090,767,517602,2486015,353014,28990,722
1999,2,31054000,676,517602,7099825,1500610,55380,6172
1999,3,31022100,249,517602,6012075,348700,72000,1731
1999,4,31055900,573,517600,5000,2671,208,0
1999,6,31022100,249,517602,9481812,540946,113493,2841
1999,6,31042090,23,517600,63000,9803,5117,30
1999,6,31042090,676,517602,11079249,1496031,132919,7089
1999,6,31054000,249,517602,2700000,480600,48600,2400
1999,6,31054000,675,517602,2086119,440171,21000,1084
1999,6,31054000,676,517602,7661907,1520463,65300,2559
1999,7,31022100,87,517602,3000354,165019,36000,395
1999,7,31054000,676,517602,1564589,319958,12600,2034
1999,7,31054000,831,517602,4635726,921028,54900,483
1999,8,31042090,23,517600,63000,10207,5328,29
1999,8,31042090,383,517602,4500000,625500,54000,1677
1999,8,31054000,474,517602,4435000,962520,34900,1185
1999,8,31059090,573,517600,2971,11770,145,0
1999,9,31022100,275,517602,6500000,410280,65000,822
1999,9,31042090,23,517600,126000,19898,10388,58
1999,9,31042090,275,517602,2100000,274491,25200,0
1999,9,31042090,676,517602,15049960,2025670,180600,3897
1999,9,31054000,249,517602,5772517,1010976,74504,0
1999,9,31054000,676,517602,10239138,1967660,100516,3240
1999,10,31022100,85,517602,2100000,113400,21000,672
1999,10,31022100,87,517602,7500000,412500,90000,1464
1999,10,31022100,275,517602,2500000,138900,25000,0
1999,10,31042090,23,517602,5000000,701000,60000,1343
1999,10,31042090,85,517602,4000000,500000,48000,2500
1999,10,31042090,383,517602,10500000,1428200,126000,3928
1999,10,31042090,676,517602,2000000,268000,24000,676
1999,10,31054000,249,517602,3500000,584500,66500,2923
1999,10,31054000,474,517602,7050000,1353431,61650,1524
1999,10,31054000,676,517602,1997687,393544,16000,540
1999,11,31042090,85,517602,3800000,475000,45600,2375
1999,11,31042090,383,517602,5659000,786601,67908,3122
1999,11,31042090,676,517602,4770716,644976,57000,3176
1999,11,31054000,676,517602,23000000,4202833,219600,4956
1999,12,31021010,676,517602,3320000,277512,26560,891
1999,12,31022100,249,517602,7428801,408584,89146,2350
1999,12,31042090,85,517602,5000000,625000,60000,3125
1999,12,31042090,275,517602,2000000,278680,16000,0
1999,12,31042090,676,517602,18066131,2452527,196475,4543
1999,12,31054000,249,517602,4900000,885043,39200,4014
2000,1,31021010,831,517602,8915821,784778,72868,1995
2000,1,31022100,249,517602,8000000,433000,96000,1917
2000,1,31042090,383,517602,2500000,332500,30000,1457
2000,1,31054000,676,517602,7813544,1406235,62480,3730
2000,2,31021010,831,517602,574116,42772,5741,34
2000,2,31022100,23,517602,1063140,63873,12000,0
2000,2,31022100,87,517602,2000000,114000,24000,216
2000,2,31022100,275,517602,1000000,68000,12000,168
2000,2,31042090,23,517602,3037724,414946,36000,744
2000,3,31022100,249,517602,6531722,393745,78457,1807
2000,3,31042090,23,517600,63000,10431,3526,27
2000,3,31054000,676,517602,5496894,909917,43960,968
2000,4,31022100,87,517602,1574970,98319,18000,428
2000,4,31042090,23,517600,63000,10389,3511,27
2000,4,31042090,23,517602,200000,26400,2400,60
2000,4,31042090,676,517602,4199530,579535,33596,2465
2000,4,31054000,676,517602,1150000,193920,9200,0
2000,4,31059090,573,517600,1010,5770,59,0
2000,5,31054000,249,517602,1529636,257444,12520,459
2000,5,31054000,676,517602,977403,155896,8000,0
2000,5,31059090,383,517600,42000,14270,1900,0
2000,6,31022100,249,517602,9227154,564543,110724,2413
2000,6,31042090,383,517602,1000000,139690,12000,0
2000,6,31054000,249,517602,488702,82251,4000,147
2000,6,31059090,383,517600,147000,48278,7295,0
2000,7,31042090,275,517602,10000000,1422945,120000,6070
2000,7,31042090,383,517602,2500000,347500,30000,367
2000,7,31054000,249,517602,7911911,1186519,94942,1980
2000,7,31054000,474,517602,7875000,1281656,63000,1930
2000,8,31021010,676,517602,8200000,1237016,65600,2456
2000,8,31022100,23,517602,3000000,199052,36000,905
2000,8,31022100,87,517602,2010156,126640,27504,738
2000,8,31022100,676,517602,4399643,287230,35197,1238
2000,8,31042090,383,517602,12000000,1707913,144000,3577
2000,8,31042090,676,517602,15352719,2089411,191297,5836
2000,8,31054000,249,517602,2250000,363995,18000,550
2000,8,31054000,383,517602,3000000,450938,24000,1869
2000,8,31054000,474,517602,1575000,267957,12600,531
2000,8,31054000,676,517602,5852281,931625,46819,778
2000,8,31059090,573,517600,1316,8766,90,0
2000,9,31021010,438,517602,7934849,1304927,63400,3040
2000,9,31021010,676,517602,12000000,1704222,96000,5224
2000,9,31021010,767,517602,3150000,513983,25200,1249
2000,9,31042090,676,517602,4554049,625510,36400,123
2000,9,31054000,474,517602,9616015,1616251,79306,2216
2000,9,31054000,676,517602,7999902,1314117,64000,2722
2000,10,31021010,249,517602,33686533,4716115,269492,0
2000,10,31021010,438,517602,4156434,625299,37116,1872
2000,10,31021010,676,517602,1000186,163410,8000,373
2000,10,31022100,249,517600,10316263,800256,123795,1611
2000,10,31022100,249,517602,11434199,751177,142743,1454
2000,10,31022100,676,517602,2201520,154442,17600,0
2000,10,31042090,383,517602,18726114,2661762,229721,6352
2000,10,31042090,676,517602,1051350,149479,8400,0
2000,10,31054000,249,517600,3001324,394690,36000,874
2000,10,31054000,293,517600,5500000,1101485,44000,1058
2000,10,31054000,383,517600,21000,9631,1037,0
2000,10,31054000,386,517600,21000,8321,750,0
2000,10,31054000,474,517600,5895000,1179295,47160,2225
2000,10,31059090,383,517600,85500,30663,4140,0
2000,11,31021010,831,517602,20878143,2560704,208781,0
2000,11,31022100,87,517600,2000000,142530,24000,635
2000,11,31022100,249,517600,2317288,159365,27794,312
2000,11,31042090,23,517602,3000000,397539,36000,862
2000,11,31042090,676,517602,17024980,2334359,209635,6660
2000,11,31054000,676,517600,7062604,1480572,56560,1448
2000,11,31054000,676,517602,6015610,1145279,66294,3454
2000,11,31059090,383,517600,21500,6380,1035,0
2000,12,31022100,249,517602,5500000,394746,66000,440
2000,12,31022100,573,517600,1088320,78566,13060,164
2000,12,31042090,23,517600,126000,19745,6470,48
2000,12,31042090,676,517602,3061420,422126,28600,0
2000,12,31054000,676,517602,4081627,756602,34617,1724
2001,1,31022100,249,517602,7839214,598859,96536,1590
2001,1,31042090,23,517600,63000,10516,3761,25
2001,1,31042090,676,517602,1061420,146553,12600,0
2001,3,31022100,676,517602,3000000,212695,36000,878
2001,3,31054000,474,517602,2827423,519494,22680,952
2001,3,31059090,573,517600,2020,10716,172,0
2001,5,31042090,383,517602,3500000,506080,42000,1973
2001,5,31054000,249,517602,4211252,785657,33600,795
2001,5,31054000,676,517602,6642751,1137276,53000,3554
2001,5,31059090,607,517600,2100,606,172,0
2001,6,31021010,275,517602,3002313,284651,30000,624
2001,6,31022100,87,517602,3501344,279287,42000,650
2001,6,31022100,275,517602,2876358,232186,28740,176
2001,6,31042090,23,517600,63000,9992,2692,28
2001,6,31042090,383,517602,12501268,1809162,150000,8042
2001,6,31054000,249,517602,9739787,1600145,105754,4064
2001,6,31054000,676,517602,525000,85505,4200,500
2001,7,31022100,87,517602,8140845,650524,104407,1620
2001,7,31022100,676,517600,3502859,244506,28000,540
2001,7,31054000,275,517602,1925550,319218,27628,1630
2001,7,31054000,676,517602,3750000,621941,30000,561
2001,7,31059090,573,517600,2200,21067,147,0
2001,8,31021010,831,517602,19100772,1814573,152806,0
2001,8,31022100,87,517602,11168930,892733,145818,1787
2001,8,31042090,23,517602,8979465,1185290,125534,2434
2001,8,31042090,383,517602,9000204,1218851,116129,2252
2001,8,31042090,676,517602,15450000,1948126,161400,4387
2001,8,31054000,249,517602,18118688,2712697,266300,5647
2001,8,31054000,474,517602,1651440,266967,12600,0
2001,8,31054000,676,517602,7000386,1047836,56000,2307
2001,8,31055900,245,517600,5400,12450,316,0
2001,8,31059090,232,517600,207000,62176,13842,132
2001,9,31022100,275,517602,2821764,222658,22542,686
2001,9,31022100,676,517602,3004220,234889,24000,441
2001,9,31042090,23,517600,63000,10946,2916,22
2001,9,31042090,23,517602,5000000,629150,60000,1414
2001,9,31042090,383,517602,29994524,4036095,379766,8614
2001,9,31042090,767,517600,10975630,1425727,131708,3030
2001,9,31054000,249,517602,10365000,1596074,144225,3625
2001,9,31054000,383,517600,21000,7887,979,0
2001,9,31054000,474,517600,9166353,1575791,125909,3147
2001,9,31054000,474,517602,10033985,1554385,138775,3591
2001,10,31021010,676,517602,21857004,2180236,174825,0
2001,10,31042090,85,517600,2000000,256397,16000,0
2001,10,31042090,383,517602,10445237,1379012,135066,2388
2001,10,31054000,474,517600,3150000,539069,45594,637
2001,11,31042090,23,517600,63000,10210,3132,23
2001,11,31042090,23,517602,4578043,585989,62894,710
2001,11,31042090,383,517602,10669381,1419686,141360,3632
2001,11,31054000,676,517602,7886485,1266869,61600,2433
2001,12,31021010,249,517602,3083734,340145,29000,433
2001,12,31021010,438,517602,19235132,2037051,153830,0
2001,12,31021010,676,517602,5653511,634245,44000,1441
2002,2,31042090,383,517602,5116688,707555,60000,1521
2002,2,31054000,676,517602,10973305,1748107,94016,3071
2002,2,31059090,383,517600,63000,17183,3143,0
2002,3,31022100,249,517602,496506,33769,6000,85
2002,3,31054000,676,517602,1583413,259279,12600,816
2002,4,31022100,249,517602,3475544,234113,47943,1129
2002,4,31042090,383,517602,1999653,242253,24000,82
2002,4,31042090,676,517602,3900000,478318,46800,0
2002,4,31042090,767,517600,0,70,0,0
2002,5,31022100,23,517602,4999710,337701,67076,420
2002,5,31022100,87,517602,4184640,272002,62623,0
2002,5,31042090,383,517602,4940594,695210,63103,1302
2002,5,31042090,427,517602,8247082,1006144,92809,1914
2002,5,31042090,676,517602,1030769,129204,8000,41
2002,5,31054000,249,517602,20245936,3090361,296797,9230
2002,5,31055900,383,517600,42000,21387,1820,53
2002,5,31059090,232,517600,100800,32980,4005,68
2002,6,31042090,383,517602,13048321,1597639,176352,3205
2002,6,31054000,249,517602,1573600,221658,25138,496
2002,6,31054000,275,517602,2624083,426715,41920,0
2002,6,31059090,628,517600,13611,31898,1163,0
2002,7,31022100,87,517602,3870791,251601,59284,567
2002,7,31042090,275,517602,1500315,177679,12000,0
2002,7,31042090,383,517602,16550234,1992505,222516,3847
2002,7,31042090,676,517602,11157136,1365779,101748,2719
2002,7,31042090,767,517602,7026199,862034,56000,0
2002,7,31054000,23,517602,3859077,596227,36255,2987
2002,7,31054000,249,517602,17444464,2603959,290238,6413
2002,7,31054000,676,517602,10587544,1632625,101047,1752
2002,7,31059090,232,517600,151200,49347,6081,102
2002,7,31059090,271,517600,20000,10329,1212,21
2002,8,31022100,87,517602,5574297,347208,73518,598
2002,8,31042090,85,517602,3161789,386307,32310,0
2002,8,31042090,245,517602,11578561,1428670,138000,3818
2002,8,31042090,383,517602,19500000,2402508,250838,4066
2002,8,31054000,474,517602,16320637,2834541,238112,3749
2002,8,31054000,676,517602,3357898,520609,31546,667
2002,8,31055900,271,517600,10000,5063,566,10
2002,8,31059090,271,517600,20000,10377,1161,21
2002,9,31054000,676,517602,8345161,1331973,77448,2912
2002,10,31021010,628,517602,5537785,536501,110146,826
2002,10,31021010,676,517602,6187284,683757,79487,960
2002,10,31042090,383,517602,6050000,741125,78331,1033
2002,10,31042090,676,517602,5325597,637695,58774,867
2002,10,31054000,249,517602,9785619,1769529,138300,3741
2002,10,31054000,275,517602,600000,115343,8250,0
2002,11,31021010,301,517602,25830000,2660490,206640,0
2002,11,31021010,676,517602,1227229,130597,16780,0
2002,11,31021010,767,517602,35453587,3722627,283629,0
2002,11,31022100,87,517602,4161229,270996,48000,548
2002,11,31022100,249,517602,7299731,484218,95204,689
2002,11,31042090,383,517602,9128190,1143565,115994,1659
2002,11,31042090,386,517602,9214400,1128764,119395,1463
2002,11,31059090,232,517600,100800,34145,2840,68
2002,12,31054000,249,517602,9687774,1538319,196823,3688
2002,12,31059090,232,517600,201600,68061,5918,135
2002,12,31059090,245,517600,3150,1567,169,0
2003,2,31042090,383,517602,4027538,534588,48000,1081
2003,2,31055900,245,517600,12768,20991,400,0
2003,3,31021010,831,517602,27655804,3892554,219992,0
2003,3,31042090,149,517602,7079036,814341,84000,1599
2003,3,31054000,474,517602,11056474,1938336,173263,4904
2003,3,31059090,232,517600,100800,34503,2490,68
2003,3,31059090,245,517600,2100,1159,90,0
2003,3,31059090,271,517600,40000,21077,2022,42
2003,4,31022100,87,517602,6891696,443746,81600,916
2003,4,31042090,23,517602,5775460,657667,68400,1468
2003,4,31054000,474,517602,11395862,2173034,199031,4318
2003,4,31059090,232,517600,100800,34450,2544,68
2003,5,31042090,383,517602,8833527,1099550,105540,1543
2003,5,31042090,676,517602,6999261,841447,90941,1005
2003,5,31054000,474,517602,4523673,877222,71584,1173
2003,5,31059090,232,517600,252000,86428,6135,169
2003,6,31021010,831,517602,1701819,230817,17952,333
2003,6,31022100,831,517602,2000847,136370,35663,0
2003,6,31042090,383,517602,5071641,634774,60276,803
2003,6,31042090,676,517602,8300000,1095715,72400,2144
2003,6,31054000,249,517602,13538393,2788247,259854,6352
2003,6,31059090,232,517600,100800,35264,1765,68
2003,7,31021010,831,517602,3625175,455908,54000,1040
2003,7,31022100,23,517600,3500000,330900,51870,552
2003,7,31022100,87,517600,1000264,70679,12000,164
2003,7,31022100,249,517602,7890546,619272,95127,1409
2003,7,31022100,573,517600,4001058,296262,48000,607
2003,7,31022100,831,517602,5002119,365140,75000,1137
2003,7,31042090,23,517602,5002122,601935,60000,1328
2003,7,31042090,383,517602,26742878,3346907,325560,8433
