ANO,MES,NCM,PAIS,URF,KG,FOB,FRETE,SEGURO,z_diff,z_score_KG,z_score_FOB
1997,1,31042090,23,517600,59400.000000010245,10128,5824,41,0.41798155577889173,-0.7922252029863202,-0.6701567151850043
1997,4,31042090,23,517600,39600.000000011176,6222,3405,26,0.41838616309352783,-0.7944411745941452,-0.671212637118377
1997,4,31042090,275,510100,1973189.0000000084,254541,24000,0,0.41486205131554554,-0.5780382288768225,-0.6040837383541289
1997,4,31042090,676,510100,1006493.0000000093,129838,12600,0,0.41677427348768725,-0.6862286778363238,-0.6377951138936487
1997,4,31042090,676,517600,4025970.000000005,514318,50400,2276,0.4121612428257597,-0.34829558175142455,-0.5338573604519947
1997,5,31042090,676,510100,2088312.0000000084,269392,24000,1126,0.41463426521800084,-0.565153920825931,-0.6000690182741195
1997,5,31042090,676,517600,2610389.0000000075,330214,30000,1041,0.4153656069123576,-0.5067242334977229,-0.5836268053116032
1997,6,31042090,23,517600,69300.0000000121,10832,5927,81,0.418116898433602,-0.7911172171824074,-0.6699664005303463
1997,6,31042090,676,510100,1044156.0000000093,132608,12000,0,0.41726436244834486,-0.6820135193178632,-0.6370462906075652
1997,7,31042090,676,510100,5549943.000000004,726693,66573,2382,0.4048798054615056,-0.17773594038313717,-0.4764453224079579
1997,8,31042090,23,517600,69300.0000000121,9815,5474,41,0.41839182741625425,-0.7911172171824074,-0.6702413295129986
1997,8,31042090,676,510100,10823779.999999996,1389380,129888,2820,0.39921459952973554,0.4125000725611895,-0.29729894804520984
1997,10,31042090,23,517600,69300.0000000121,11017,5509,44,0.41806688677009096,-0.7911172171824074,-0.6699163888668352
1997,10,31042090,676,517600,17244624.999999985,2268621,205982,8389,0.37273809112055106,1.1311066492402782,-0.05961081270970915
1997,11,31042090,767,517600,10742192.999999996,1452907,126000,5189,0.37935735687604444,0.40336903844161226,-0.2801254834621679
1997,12,31042090,23,517600,46200.000000011176,7329,3664,29,0.41830400898532294,-0.7937025173915369,-0.6709133781372598
1997,12,31042090,275,517600,4499308.000000005,602899,54000,896,0.40378514829652046,-0.29532065402896335,-0.5099109649629832
1997,12,31042090,383,517600,8708793.999999998,1203914,104400,4596,0.3797804555265658,0.17579558130120737,-0.34743658688158574
1998,2,31042090,23,517600,69300.0000000121,10610,5835,40,0.41817691242981514,-0.7911172171824074,-0.6700264145265594
1998,3,31042090,23,517600,69300.0000000121,10610,5835,40,0.41817691242981514,-0.7911172171824074,-0.6700264145265594
