ANO,MES,NCM,KG,FOB,FRETE,date,KG_,FOB_,FRETE_,KG_s,FOB_s,FRETE_s
1997,3,31022100-0,6004584.000000014,579942,108000,1997-03-01,6.778482924684363,5.76338456194313,5.033423755486949,0.04652857188782298,0.009747367402693273,0.021822375915954102
1997,4,31022100-0,11049492.000000019,1096029,148938,1997-04-01,7.043342311806808,6.039822045364914,5.173005517663684,0.08562734281085205,0.018430566100433036,0.030098790116742765
1997,5,31022100-0,4202529.000000017,432860,42200,1997-05-01,6.623510719017285,5.636347455108831,4.625312450961674,0.03256238347850036,0.007272702799901574,0.00851962408606759
1997,9,31022100-0,1000000.0000000102,81000,12000,1997-09-01,6.000000000000004,4.9084850188786495,4.079181246047625,0.007742317831048014,0.00135263449012684,0.0024141057690072166
1997,10,31022100-0,8061543.000000011,631010,96432,1997-10-01,6.906418174838651,5.800036241827979,4.984221174123836,0.06247030338006481,0.010606589958378989,0.019483679363247002
1997,12,31022100-0,4095347.0000000056,274388,50398,1997-12-01,6.612290705559345,5.43836511414936,4.702413302195562,0.03173170738587933,0.004606400676367721,0.010177009488824577
1998,4,31022100-0,12600066.999999993,692972,151549,1998-04-01,7.100372854455096,5.840715687005513,5.180553075009714,0.09764452463537189,0.011649104801243372,0.030626654630843582
1998,6,31022100-0,14737680.0,813797,176977,1998-06-01,7.168429122430837,5.910516084527039,5.247916828948654,0.11421133636099486,0.01368199360226802,0.03576742018601614
1998,9,31022100-0,2000000.0000000084,113000,24000,1998-09-01,6.301029995663983,5.05307844348342,4.380211241711606,0.015492463309028773,0.001891036655513049,0.0048401395373755774
1998,10,31022100-0,2508782.0000000196,132549,30000,1998-10-01,6.3994629250410515,5.122376455598949,4.477121254719663,0.019435597825606877,0.0022199499033610176,0.006053156421559758
1998,11,31022100-0,11099967.999999996,645698,133200,1998-11-01,7.045321726764724,5.810029441214096,5.124504224834283,0.08601853915399843,0.010853716552291259,0.026917046829527662
1998,12,31022100-0,8590662.00000001,505258,102000,1998-12-01,6.934026632034874,5.703513198641274,5.008600171761918,0.06657105260522851,0.008490804048952534,0.02060935903176992
1999,1,31022100-0,9492703.000000007,508051,78452,1999-01-01,6.9773898932321305,5.705907310525731,4.894604019661542,0.07356200158233175,0.008537796462950149,0.01584867210030841
1999,2,31022100-0,3000000.0000000065,174000,36000,1999-02-01,6.4771212547196635,5.2405492482825995,4.556302500767287,0.023242608787009535,0.00291736578328051,0.007266173305743938
1999,3,31022100-0,6012075.000000003,348700,72000,1999-03-01,6.77902438972641,5.542451947375977,4.857332496431268,0.046586628227598445,0.005856705104935844,0.01454427461084902
1999,6,31022100-0,9481811.999999998,540946,113493,1999-06-01,6.976891340123201,5.7331539137710275,5.054969076021445,0.07347759474793099,0.009091257063899504,0.02293289287342472
1999,7,31022100-0,3000354.0000000075,165019,36000,1999-07-01,6.477172498445208,5.2175339510023955,4.556302500767287,0.02324535233850875,0.0027662598505513365,0.007266173305743938
1999,9,31022100-0,6500000.000000002,410280,65000,1999-09-01,6.812913356642856,5.613080346844219,4.812913356642856,0.050368117959942206,0.006892792771950929,0.013129088245967476
1999,10,31022100-0,12100000.000000015,664800,136000,1999-10-01,7.082785370316451,5.8226910107760546,5.133538908370218,0.09376893263663465,0.011175108994891488,0.027483121375480278
1999,12,31022100-0,7428801.0,408584,89146,1999-12-01,6.870918724783015,5.611281355816343,4.950101861062683,0.05756646083003621,0.006864257457185461,0.018010672526886012
2000,1,31022100-0,8000000.0,433000,96000,2000-01-01,6.903089986991944,5.636487896353366,4.982271233039568,0.061993336176913355,0.007275058309375138,0.019396342147585743
2000,2,31022100-0,4063140.000000029,245873,48000,2000-02-01,6.608861786682794,5.390710840268536,4.681241237375588,0.03148209845047019,0.004126633871805603,0.0096922070741123
2000,3,31022100-0,6531722.000000002,393745,78457,2000-03-01,6.8150276922258,5.595215051912078,4.89463169777319,0.050613968074794714,0.006614590278055275,0.015849682947711895
2000,4,31022100-0,1574970.0000000093,98319,18000,2000-04-01,6.197272285770992,4.992637452702946,4.2552725051033065,0.012198418976522612,0.0016440278370744574,0.003627122653191397
2000,6,31022100-0,9227153.999999998,564543,110724,2000-06-01,6.965067768990096,5.751697026777372,5.044241766658823,0.07150395820079936,0.009488278185668829,0.02237308558137372
2000,8,31022100-0,9409799.00000002,612922,98701,2000-08-01,6.973580346687282,5.7874052100405216,4.994321552794073,0.07291948352162533,0.010302258134394435,0.01994240191494932
2000,11,31022100-0,4317288.000000016,301895,51794,2000-11-01,6.63521102077553,5.479855920275859,4.714279452451484,0.03345178242340794,0.005069207812720172,0.010459238083878096
2000,12,31022100-0,6588320.000000014,473312,79060,2000-12-01,6.818774685042209,5.6751475153864765,4.897956810006952,0.051052610808557566,0.007953310437220414,0.015971591144572406
2001,1,31022100-0,7839214.0,598859,96536,2001-01-01,6.894272520264128,5.777324580769503,4.98468929972488,0.06074722128609074,0.010065647207774864,0.01950470498923953
2001,3,31022100-0,3000000.0000000065,212695,36000,2001-03-01,6.4771212547196635,5.327757280697592,4.556302500767287,0.023242608787009535,0.0035684117767061144,0.007266173305743938
