ANO,MES,NCM,KG,FOB,FRETE
1997,3,31022100,4003056.0000000056,385794,72000
1997,4,31022100,9025200.00000001,879430,128938
1997,4,31042090,4025970.000000005,514318,50400
1997,5,31022100,3677529.000000006,378785,36950
1997,7,31042090,5549943.000000004,726693,66573
1997,7,31054000,6288907.000000002,1402427,75414
1997,8,31022100,22423437.000000015,2215258,268200
1997,8,31042090,10823779.999999996,1389380,129888
1997,8,31054000,5296784.000000004,1203276,62100
1997,10,31021010,12526385.999999993,1325688,195000
1997,10,31022100,6788695.000000002,539730,81363
1997,10,31042090,17244624.999999985,2268621,205982
1997,11,31042090,10742192.999999996,1452907,126000
1997,11,31054000,9316178.00000001,2107043,102594
1997,12,31022100,4095347.0000000056,274388,50398
1997,12,31042090,13208102.000000004,1806813,158400
1997,12,31054000,6959335.000000001,1578894,78767
1998,1,31054000,10888080.999999996,2470303,130500
1998,2,31054000,5165947.000000004,1150276,61988
1998,4,31022100,12600066.999999993,692972,151549
1998,4,31042090,8049864.0,1080232,96000
1998,5,31042090,15216641.0,2095495,180000
1998,6,31022100,11737679.999999994,639797,140977
1998,6,31042090,3500000.0000000056,493500,42000
1998,6,31054000,23285663.999999978,5317739,263419
1998,7,31042090,9865000.000000007,1366290,118380
1998,7,31054000,6540616.000000002,1447517,88980
1998,8,31042090,4998505.000000004,704789,60000
1998,9,31042090,4063000.0000000056,579783,53517
1998,9,31054000,18916333.999999996,4079594,205330
1998,10,31042090,9149999.999999998,1262850,109800
1998,10,31054000,5900000.000000003,1312900,70800
1998,11,31022100,11099967.999999996,645698,133200
1998,11,31042090,10002999.999999996,1280384,120036
1998,12,31022100,6090662.000000002,347758,72000
1998,12,31042090,6000000.000000003,869500,72000
1999,1,31022100,8825042.999999998,476003,70600
1999,1,31054000,12133633.999999993,2647164,135902
1999,2,31054000,7099825.000000001,1500610,55380
1999,3,31022100,6012075.000000003,348700,72000
1999,6,31022100,9481811.999999998,540946,113493
1999,6,31042090,11079248.999999994,1496031,132919
1999,6,31054000,7661907.0,1520463,65300
1999,8,31042090,4500000.000000005,625500,54000
1999,9,31022100,6500000.000000002,410280,65000
1999,9,31042090,15049959.999999989,2025670,180600
1999,9,31054000,16011655.0,2978636,175020
1999,10,31022100,7500000.0,412500,90000
1999,10,31042090,19500000.000000007,2629200,234000
1999,10,31054000,7050000.000000001,1353431,61650
1999,11,31042090,14229716.000000011,1906577,170508
1999,11,31054000,22999999.999999978,4202833,219600
1999,12,31022100,7428801.0,408584,89146
1999,12,31042090,23066130.99999999,3077527,256475
2000,1,31021010,8915820.999999998,784778,72868
2000,1,31022100,8000000.0,433000,96000
2000,1,31054000,7813544.0,1406235,62480
2000,3,31022100,6531722.000000002,393745,78457
2000,4,31042090,4199530.000000006,579535,33596
2000,6,31022100,9227153.999999998,564543,110724
2000,7,31042090,9999999.999999996,1422945,120000
2000,7,31054000,15786911.0,2468175,157942
2000,8,31021010,8199999.999999999,1237016,65600
2000,8,31022100,4399643.000000006,287230,35197
2000,8,31042090,27352718.99999998,3797324,335297
2000,8,31054000,5852281.000000003,931625,46819
2000,9,31021010,19934848.999999993,3009149,159400
2000,9,31042090,4554049.000000005,625510,36400
2000,9,31054000,17615916.999999996,2930368,143306
2000,10,31021010,33686532.99999996,4716115,269492
2000,10,31022100,21750461.999999993,1551433,266538
2000,10,31042090,18726113.999999985,2661762,229721
2000,10,31054000,11395000.000000007,2280780,91160
2000,11,31021010,20878142.99999998,2560704,208781
2000,11,31042090,17024979.99999999,2334359,209635
2000,11,31054000,13078214.000000004,2625851,122854
2000,12,31022100,5500000.000000004,394746,66000
2001,1,31022100,7839214.0,598859,96536
2001,5,31042090,3500000.0000000056,506080,42000
2001,5,31054000,6642751.000000002,1137276,53000
2001,6,31022100,3501344.0000000065,279287,42000
2001,6,31042090,12501267.999999993,1809162,150000
2001,6,31054000,9739786.999999996,1600145,105754
2001,7,31022100,8140844.999999999,650524,104407
2001,8,31021010,19100771.999999985,1814573,152806
2001,8,31022100,11168929.999999994,892733,145818
2001,8,31042090,33429668.999999985,4352267,403063
2001,8,31054000,25119073.999999985,3760533,322300
2001,9,31042090,45970153.99999997,6090972,571474
2001,9,31054000,29565337.999999993,4726250,408909
2001,10,31021010,21857003.99999998,2180236,174825
2001,10,31042090,10445236.999999996,1379012,135066
2001,11,31042090,15247424.0,2005675,204254
2001,11,31054000,7886485.0,1266869,61600
2001,12,31021010,19235131.999999985,2037051,153830
2002,2,31042090,5116688.000000004,707555,60000
2002,2,31054000,10973304.999999994,1748107,94016
2002,4,31022100,3475544.0000000056,234113,47943
2002,4,31042090,3900000.0000000056,478318,46800
2002,5,31022100,9184350.00000001,609703,129699
2002,5,31042090,13187676.000000004,1701354,155912
2002,5,31054000,20245935.99999998,3090361,296797
2002,6,31042090,13048320.999999993,1597639,176352
2002,7,31022100,3870791.0000000056,251601,59284
2002,7,31042090,34733568.999999985,4220318,380264
2002,7,31054000,28032007.999999985,4236584,391285
2002,8,31022100,5574297.000000003,347208,73518
2002,8,31042090,31078560.999999978,3831178,388838
2002,8,31054000,16320636.999999989,2834541,238112
2002,9,31054000,8345160.999999999,1331973,77448
2002,10,31021010,11725069.000000006,1220258,189633
2002,10,31042090,11375597.000000006,1378820,137105
2002,10,31054000,9785618.999999996,1769529,138300
2002,11,31021010,61283586.99999993,6383117,490269
2002,11,31022100,11460960.000000007,755214,143204
2002,11,31042090,18342589.999999996,2272329,235389
2002,12,31054000,9687773.999999996,1538319,196823
2003,2,31042090,4027538.000000005,534588,48000
2003,3,31021010,27655803.99999997,3892554,219992
2003,3,31042090,7079036.000000001,814341,84000
2003,3,31054000,11056473.999999994,1938336,173263
2003,4,31022100,6891696.000000001,443746,81600
2003,4,31042090,5775460.000000003,657667,68400
2003,4,31054000,11395861.999999994,2173034,199031
2003,5,31042090,15832788.0,1940997,196481
2003,5,31054000,4523673.000000005,877222,71584
2003,6,31042090,13371641.000000004,1730489,132676
2003,6,31054000,13538392.999999993,2788247,259854
2003,7,31022100,20393723.000000015,1611574,269997
2003,7,31042090,31744999.999999974,3948842,385560
2003,7,31054000,38437760.99999997,7837415,716897
2003,8,31021010,33330643.805421174,5604808,293995
2003,9,31021010,15779974.0,2438801,208616
2003,9,31022100,12494291.000000004,984268,147492
2003,9,31042090,60971080.99999996,7635893,702768
