ANO,MES,NCM,KG,FOB,FRETE
1997,3,31022100-0,6004584.000000014,579942,108000
1997,4,31022100-0,11049492.000000019,1096029,148938
1997,5,31022100-0,4202529.000000017,432860,42200
1997,8,31022100-0,22431878.000000026,2875321,369600
1997,9,31022100-0,1000000.0000000102,81000,12000
1997,10,31022100-0,8061543.000000011,631010,96432
1997,12,31022100-0,4095347.0000000056,274388,50398
1998,4,31022100-0,12600066.999999993,692972,151549
1998,6,31022100-0,14737680.0,813797,176977
1998,9,31022100-0,2000000.0000000084,113000,24000
1998,10,31022100-0,2508782.0000000196,132549,30000
1998,11,31022100-0,11099967.999999996,645698,133200
1998,12,31022100-0,8590662.00000001,505258,102000
1999,1,31022100-0,9492703.000000007,508051,78452
1999,2,31022100-0,3000000.0000000065,174000,36000
1999,3,31022100-0,6012075.000000003,348700,72000
1999,6,31022100-0,9481811.999999998,540946,113493
1999,7,31022100-0,3000354.0000000075,165019,36000
1999,9,31022100-0,6500000.000000002,410280,65000
1999,10,31022100-0,12100000.000000015,664800,136000
1999,12,31022100-0,7428801.0,408584,89146
2000,1,31022100-0,8000000.0,433000,96000
2000,2,31022100-0,4063140.000000029,245873,48000
2000,3,31022100-0,6531722.000000002,393745,78457
2000,4,31022100-0,1574970.0000000093,98319,18000
2000,6,31022100-0,9227153.999999998,564543,110724
2000,8,31022100-0,9409799.00000002,612922,98701
2000,10,31022100-0,23951982.0,1705875,284138
2000,11,31022100-0,4317288.000000016,301895,51794
2000,12,31022100-0,6588320.000000014,473312,79060
2001,1,31022100-0,7839214.0,598859,96536
2001,3,31022100-0,3000000.0000000065,212695,36000
2001,6,31022100-0,6377702.000000014,511473,70740
2001,7,31022100-0,11643704.000000004,895030,132407
2001,8,31022100-0,11168929.999999994,892733,145818
2001,9,31022100-0,5825984.000000014,457547,46542
2002,3,31022100-0,496506.0000000112,33769,6000
2002,4,31022100-0,3475544.0000000056,234113,47943
2002,5,31022100-0,9184350.00000001,609703,129699
2002,7,31022100-0,3870791.0000000056,251601,59284
2002,8,31022100-0,5574297.000000003,347208,73518
2002,11,31022100-0,11460960.000000007,755214,143204
2003,4,31022100-0,6891696.000000001,443746,81600
2003,6,31022100-0,2000847.0000000084,136370,35663
2003,7,31022100-0,21393987.000000026,1682253,281997
2003,9,31022100-0,14494820.000000013,1128730,171492
2003,10,31022100-0,12977929.000000004,1058052,124060
2004,1,31022100-0,5027872.000000004,439255,62826
2004,3,31022100-0,4000000.0000000056,398386,60000
2004,5,31022100-0,8599999.999999998,885193,309600
2004,6,31022100-0,14008410.99999999,1587362,358748
2004,9,31022100-0,5302210.000000004,464234,235869
2005,5,31022100-0,4019593.0000000056,483971,108000
2005,6,31022100-0,4031586.0000000056,473040,108000
2005,9,31022100-0,6001005.000000002,703689,162000
2006,1,31022100-0,6530692.000000002,699455,175500
2006,2,31022100-0,1406609.0000000093,146609,37800
2006,5,31022100-0,8401560.999999998,810524,144000
2006,7,31022100-0,4500382.000000005,415071,81000
2006,8,31022100-0,6032954.000000003,613632,108000
2006,9,31022100-0,3596152.0000000065,368743,63000
2006,12,31022100-0,4125053.000000005,516357,80000
2007,1,31022100-0,1901591.0000000084,224074,73910
2007,2,31022100-0,4010429.0000000056,514624,80000
2007,3,31022100-0,4010817.0000000056,650491,80000
2007,5,31022100-0,10732909.999999996,1657058,214658
2007,6,31022100-0,4516619.000000005,752363,90000
2007,8,31022100-0,5035474.000000004,847305,100000
2008,2,31022100-0,9875107.999999996,2885076,196954
2008,9,31022100-0,6093619.000000003,2515617,180000
2009,5,31022100-0,9000945.999999998,1362110,271350
2009,8,31022100-0,9191773.999999998,785749,376798
2009,10,31022100-0,3015332.0000000065,397345,54000
2009,12,31022100-0,2055321.0000000084,243391,36000
2010,2,31022100-0,3000355.0000000065,345510,54000
2010,5,31022100-0,3505226.0000000065,528581,63000
2010,7,31022100-0,5038261.000000004,552188,90000
2010,8,31022100-0,6007249.000000003,640324,108000
2010,11,31022100-0,4008064.0000000056,528178,72000
2010,12,31022100-0,6148566.000000002,972279,108000
2011,2,31022100-0,4404017.000000006,862555,272860
2011,4,31022100-0,3147385.0000000065,626181,88200
2011,5,31022100-0,5002500.000000004,940563,147000
2011,6,31022100-0,5550320.000000004,1067931,163625
