ANO,MES,NCM,KG,k1,k2,k3,k4,k5,k6,grupo_mes
1997,2,31022100-0,17054076.000000034,6004584.000000014,0.0,0.0,0.0,0.0,0.0,3
1997,3,31022100-0,6004584.000000014,0.0,0.0,0.0,0.0,0.0,0.0,1
1997,3,31022100-0,17054076.000000034,6004584.000000014,0.0,0.0,0.0,0.0,0.0,2
1997,4,31022100-0,11049492.00000002,6004584.000000014,0.0,0.0,0.0,0.0,0.0,1
1997,5,31022100-0,4202529.000000017,11049492.00000002,0.0,0.0,0.0,0.0,0.0,1
1997,5,31022100-0,4202529.000000017,11049492.00000002,0.0,0.0,0.0,0.0,0.0,2
1997,5,31022100-0,4202529.000000017,11049492.00000002,0.0,0.0,0.0,0.0,0.0,3
1997,8,31022100-0,9061543.000000022,1000000.0000000102,0.0,0.0,0.0,0.0,0.0,3
1997,9,31022100-0,1000000.0000000102,0.0,0.0,0.0,0.0,0.0,0.0,1
1997,9,31022100-0,9061543.000000022,1000000.0000000102,0.0,0.0,0.0,0.0,0.0,2
1997,10,31022100-0,8061543.000000011,1000000.0000000102,0.0,0.0,0.0,0.0,0.0,1
1997,11,31022100-0,4095347.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,2
1997,11,31022100-0,4095347.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,3
1997,12,31022100-0,4095347.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,1
1998,2,31022100-0,12600066.999999993,0.0,0.0,0.0,0.0,0.0,0.0,3
1998,3,31022100-0,12600066.999999993,0.0,0.0,0.0,0.0,0.0,0.0,2
1998,4,31022100-0,12600066.999999993,0.0,0.0,0.0,0.0,0.0,0.0,1
1998,5,31022100-0,14737680.0,0.0,18379141.00000002,0.0,0.0,0.0,0.0,2
1998,5,31022100-0,14737680.0,0.0,18379141.00000002,0.0,0.0,0.0,0.0,3
1998,5,31042090-1,18379141.00000002,12600066.999999993,0.0,0.0,0.0,0.0,0.0,1
1998,5,31042090-1,18379141.00000002,12600066.999999993,0.0,0.0,0.0,0.0,0.0,2
1998,5,31042090-1,18379141.00000002,12600066.999999993,0.0,0.0,0.0,0.0,0.0,3
1998,5,31054000-1,27230663.999999996,0.0,18379141.00000002,0.0,0.0,0.0,0.0,2
1998,5,31054000-1,27230663.999999996,0.0,18379141.00000002,0.0,0.0,0.0,0.0,3
1998,6,31022100-0,14737680.0,0.0,18379141.00000002,0.0,0.0,0.0,0.0,1
1998,6,31054000-1,27230663.999999996,0.0,18379141.00000002,0.0,0.0,0.0,0.0,1
1998,8,31022100-0,4508782.000000028,2000000.0000000084,0.0,0.0,0.0,0.0,0.0,3
1998,9,31022100-0,2000000.0000000084,0.0,0.0,0.0,0.0,0.0,0.0,1
1998,9,31022100-0,4508782.000000028,2000000.0000000084,0.0,0.0,0.0,0.0,0.0,2
1998,10,31022100-0,2508782.00000002,2000000.0000000084,0.0,0.0,0.0,0.0,0.0,1
1998,11,31022100-0,11099967.999999996,2508782.00000002,0.0,0.0,0.0,0.0,0.0,1
1998,11,31022100-0,19690630.000000007,13608750.000000017,0.0,0.0,0.0,0.0,0.0,2
1998,11,31022100-0,29183333.000000015,22199412.000000026,0.0,0.0,0.0,0.0,0.0,3
1998,12,31022100-0,8590662.00000001,11099967.999999996,0.0,0.0,0.0,0.0,0.0,1
1999,1,31022100-0,9492703.000000007,8590662.00000001,0.0,0.0,0.0,0.0,0.0,1
1999,1,31022100-0,12492703.000000015,18083365.000000015,0.0,0.0,0.0,0.0,0.0,2
1999,2,31022100-0,3000000.0000000065,9492703.000000007,0.0,0.0,0.0,0.0,0.0,1
1999,2,31022100-0,9012075.00000001,12492703.000000015,0.0,0.0,0.0,0.0,0.0,3
1999,3,31022100-0,6012075.000000003,3000000.0000000065,0.0,0.0,0.0,0.0,0.0,1
1999,3,31022100-0,6012075.000000003,3000000.0000000065,0.0,0.0,0.0,0.0,0.0,2
1999,5,31022100-0,9481811.999999998,0.0,0.0,0.0,0.0,0.0,0.0,2
1999,5,31022100-0,12482166.000000006,9481811.999999998,0.0,0.0,0.0,0.0,0.0,3
1999,6,31022100-0,9481811.999999998,0.0,0.0,0.0,0.0,0.0,0.0,1
1999,7,31022100-0,3000354.0000000075,9481811.999999998,0.0,0.0,0.0,0.0,0.0,1
1999,7,31022100-0,3000354.0000000075,9481811.999999998,0.0,0.0,0.0,0.0,0.0,2
1999,8,31022100-0,18600000.00000002,6500000.000000002,0.0,0.0,0.0,0.0,0.0,3
1999,9,31022100-0,6500000.000000002,0.0,0.0,0.0,0.0,0.0,0.0,1
1999,9,31022100-0,18600000.00000002,6500000.000000002,0.0,0.0,0.0,0.0,0.0,2
1999,10,31022100-0,12100000.000000017,6500000.000000002,0.0,0.0,0.0,0.0,0.0,1
1999,11,31022100-0,7428801.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1999,11,31022100-0,15428801.0,7428801.0,0.0,0.0,0.0,0.0,0.0,3
1999,12,31022100-0,7428801.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,1,31022100-0,8000000.0,7428801.0,0.0,0.0,0.0,0.0,0.0,1
2000,1,31022100-0,12063140.00000003,15428801.0,0.0,0.0,0.0,0.0,0.0,2
2000,2,31022100-0,4063140.000000029,8000000.0,0.0,0.0,0.0,0.0,0.0,1
2000,2,31022100-0,12169832.000000041,18594862.00000003,0.0,0.0,0.0,0.0,0.0,3
2000,3,31022100-0,6531722.000000002,4063140.000000029,0.0,0.0,0.0,0.0,0.0,1
2000,3,31022100-0,8106692.000000011,10594862.00000003,0.0,0.0,0.0,0.0,0.0,2
2000,4,31022100-0,1574970.0000000093,6531722.000000002,0.0,0.0,0.0,0.0,0.0,1
2000,5,31022100-0,9227153.999999998,0.0,0.0,0.0,0.0,0.0,0.0,2
2000,5,31022100-0,9227153.999999998,0.0,0.0,0.0,0.0,0.0,0.0,3
2000,6,31022100-0,9227153.999999998,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,7,31022100-0,9409799.00000002,0.0,0.0,0.0,0.0,0.0,0.0,2
2000,7,31042090-1,27352718.99999998,0.0,0.0,0.0,0.0,0.0,0.0,2
2000,8,31021010-0,38843152.99999998,0.0,0.0,0.0,0.0,0.0,0.0,3
2000,8,31022100-0,9409799.00000002,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,8,31022100-0,9409799.00000002,0.0,0.0,0.0,0.0,0.0,0.0,3
2000,8,31042090-1,27352718.99999998,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,8,31042090-1,27352718.99999998,0.0,0.0,0.0,0.0,0.0,0.0,3
2000,9,31021010-0,38843152.99999998,0.0,0.0,0.0,0.0,0.0,0.0,2
2000,10,31021010-0,38843152.99999998,0.0,0.0,0.0,0.0,0.0,0.0,1
2000,11,31022100-0,4317288.000000016,0.0,0.0,0.0,38843152.99999998,0.0,0.0,1
2000,11,31022100-0,10905608.00000003,4317288.000000016,0.0,0.0,38843152.99999998,0.0,0.0,2
2000,11,31022100-0,18744822.00000003,10905608.00000003,0.0,0.0,38843152.99999998,0.0,0.0,3
2000,12,31022100-0,6588320.000000014,4317288.000000016,0.0,0.0,0.0,0.0,0.0,1
2001,1,31022100-0,7839214.0,6588320.000000014,0.0,0.0,0.0,0.0,0.0,1
2001,1,31022100-0,7839214.0,6588320.000000014,0.0,0.0,0.0,0.0,0.0,2
2001,2,31022100-0,3000000.0000000065,0.0,0.0,0.0,0.0,0.0,0.0,3
2001,3,31022100-0,3000000.0000000065,0.0,0.0,0.0,0.0,0.0,0.0,1
2001,3,31022100-0,3000000.0000000065,0.0,0.0,0.0,0.0,0.0,0.0,2
2001,5,31022100-0,6377702.000000014,0.0,0.0,0.0,0.0,0.0,0.0,2
2001,5,31022100-0,18021406.00000002,6377702.000000014,0.0,0.0,0.0,0.0,0.0,3
2001,6,31022100-0,6377702.000000014,0.0,0.0,0.0,0.0,0.0,0.0,1
2001,7,31022100-0,11643704.000000004,6377702.000000014,0.0,0.0,0.0,0.0,0.0,1
2001,7,31022100-0,22812634.0,18021406.00000002,0.0,0.0,0.0,0.0,0.0,2
2001,7,31042090-1,33429668.999999985,11643704.000000004,0.0,0.0,0.0,0.0,0.0,2
2001,8,31022100-0,11168929.999999994,11643704.000000004,0.0,0.0,0.0,0.0,0.0,1
2001,8,31022100-0,16994914.000000007,22812634.0,33429668.999999985,0.0,0.0,0.0,0.0,3
2001,8,31042090-1,33429668.999999985,11643704.000000004,0.0,0.0,0.0,0.0,0.0,1
2001,8,31042090-1,79462822.99999997,22812634.0,33429668.999999985,0.0,0.0,0.0,0.0,3
2001,8,31054000-1,29586338.0,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,3
2001,9,31022100-0,5825984.000000014,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,1
2001,9,31022100-0,5825984.000000014,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,2
2001,9,31042090-1,46033153.99999998,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,1
2001,9,31042090-1,46033153.99999998,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,2
2001,9,31054000-1,29586338.0,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,1
2001,9,31054000-1,29586338.0,11168929.999999994,33429668.999999985,0.0,0.0,0.0,0.0,2
2002,2,31022100-0,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,3,31022100-0,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,2
2002,4,31022100-0,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,5,31022100-0,9184350.00000001,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,1
2002,5,31022100-0,9184350.00000001,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,2
2002,5,31022100-0,13055141.000000015,3475544.0000000056,0.0,0.0,0.0,0.0,0.0,3
2002,5,31042090-1,36233883.99999999,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,5,31054000-1,31891084.999999996,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,7,31022100-0,3870791.0000000056,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,7,31022100-0,9445088.000000007,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,2
2002,7,31042090-1,36233883.99999999,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,7,31042090-1,70474233.99999997,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,2
2002,7,31054000-1,31891084.999999996,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,7,31054000-1,31891084.999999996,0.0,0.0,0.0,0.0,0.0,0.0,2
2002,8,31022100-0,5574297.000000003,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,1
2002,8,31022100-0,5574297.000000003,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,3
2002,8,31042090-1,34240349.999999985,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,1
2002,8,31042090-1,34240349.999999985,3870791.0000000056,36233883.99999999,31891084.999999996,0.0,0.0,0.0,3
2002,11,31021010-0,62510815.99999994,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,11,31021010-0,62510815.99999994,0.0,0.0,0.0,0.0,0.0,0.0,2
2002,11,31021010-0,62510815.99999994,0.0,0.0,0.0,0.0,0.0,0.0,3
2002,11,31022100-0,11460960.000000007,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,11,31022100-0,11460960.000000007,0.0,0.0,0.0,0.0,0.0,0.0,2
2002,11,31022100-0,11460960.000000007,0.0,0.0,0.0,0.0,0.0,0.0,3
2003,2,31022100-0,6891696.000000001,0.0,0.0,0.0,0.0,0.0,0.0,3
2003,3,31022100-0,6891696.000000001,0.0,0.0,0.0,0.0,0.0,0.0,2
2003,4,31022100-0,6891696.000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
2003,5,31022100-0,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,0.0,2
2003,5,31022100-0,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,0.0,3
2003,5,31042090-1,31744999.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,3
2003,5,31054000-1,38437760.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,3
2003,6,31022100-0,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,0.0,1
2003,7,31021010-0,33330643.805421174,0.0,31744999.99999997,38437760.99999997,0.0,0.0,0.0,2
2003,7,31042090-1,31744999.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,1
2003,7,31042090-1,31744999.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,2
2003,7,31054000-1,38437760.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,1
2003,7,31054000-1,38437760.99999997,2000847.0000000084,0.0,0.0,0.0,0.0,0.0,2
2003,8,31021010-0,33330643.805421174,0.0,31744999.99999997,38437760.99999997,0.0,0.0,0.0,1
2003,8,31021010-0,33330643.805421174,0.0,31744999.99999997,38437760.99999997,0.0,0.0,0.0,3
