ANO,MES,NCM,KG,31022100-0,31021010-0,31042090-0,31054000-0,31059090-1,31055900-2,grupo_mes
1997,2,31021010-0,531376.0000000102,6004584.000000014,0.0,0.0,0.0,0.0,0.0,3
1997,2,31022100-0,17054076.000000034,6004584.000000014,0.0,0.0,0.0,0.0,0.0,3
1997,2,31042090-0,7045252.0000000335,6004584.000000014,0.0,0.0,0.0,0.0,0.0,3
1997,2,31054000-0,3515344.0000000065,6004584.000000014,0.0,0.0,0.0,0.0,0.0,3
1997,3,31021010-0,531376.0000000102,6004584.000000014,0.0,0.0,0.0,0.0,0.0,2
1997,3,31022100-0,6004584.000000014,0.0,0.0,0.0,0.0,0.0,0.0,1
1997,3,31022100-0,17054076.000000034,6004584.000000014,0.0,0.0,0.0,0.0,0.0,2
1997,3,31042090-0,7045252.0000000335,6004584.000000014,0.0,0.0,0.0,0.0,0.0,2
1997,3,31054000-0,3515344.0000000065,6004584.000000014,0.0,0.0,0.0,0.0,0.0,2
1997,4,31021010-0,531376.0000000102,6004584.000000014,0.0,0.0,0.0,0.0,0.0,1
1997,4,31022100-0,11049492.00000002,6004584.000000014,0.0,0.0,0.0,0.0,0.0,1
1997,4,31042090-0,7045252.0000000335,6004584.000000014,0.0,0.0,0.0,0.0,0.0,1
1997,4,31054000-0,3515344.0000000065,6004584.000000014,0.0,0.0,0.0,0.0,0.0,1
1997,5,31022100-0,4202529.000000017,11049492.00000002,531376.0000000102,7045252.0000000335,3515344.0000000065,0.0,0.0,1
1997,5,31022100-0,4202529.000000017,11049492.00000002,531376.0000000102,7045252.0000000335,3515344.0000000065,0.0,0.0,2
1997,5,31022100-0,4202529.000000017,11049492.00000002,531376.0000000102,7045252.0000000335,3515344.0000000065,0.0,0.0,3
1997,5,31042090-0,4698701.000000016,11049492.00000002,531376.0000000102,7045252.0000000335,3515344.0000000065,0.0,0.0,1
1997,5,31042090-0,4698701.000000016,11049492.00000002,531376.0000000102,7045252.0000000335,3515344.0000000065,0.0,0.0,2
1997,5,31042090-0,10248644.000000019,11049492.00000002,531376.0000000102,7045252.0000000335,12964438.000000037,0.0,0.0,3
1997,5,31054000-0,2038700.0000000084,11049492.00000002,531376.0000000102,7045252.0000000335,3515344.0000000065,0.0,0.0,1
1997,5,31054000-0,11487794.000000041,15252021.000000037,531376.0000000102,11743953.000000048,5554044.000000015,0.0,0.0,2
1997,5,31054000-0,20199199.000000052,15252021.000000037,531376.0000000102,11743953.000000048,15003138.000000047,0.0,0.0,3
1997,6,31054000-0,9449094.000000032,4202529.000000017,0.0,4698701.000000016,2038700.0000000084,0.0,0.0,1
1997,7,31022100-0,22431878.000000022,0.0,0.0,5549943.000000004,8711405.000000011,0.0,0.0,2
1997,7,31042090-0,5549943.000000004,0.0,0.0,0.0,9449094.000000032,0.0,0.0,1
1997,7,31042090-0,16443023.000000011,0.0,0.0,5549943.000000004,18160499.000000045,0.0,0.0,2
1997,7,31054000-0,8711405.000000011,0.0,0.0,0.0,9449094.000000032,0.0,0.0,1
1997,7,31054000-0,21036744.000000045,0.0,0.0,5549943.000000004,18160499.000000045,0.0,0.0,2
1997,8,31021010-0,13539579.000000004,1000000.0000000102,0.0,0.0,6131432.000000014,0.0,0.0,3
1997,8,31022100-0,22431878.000000022,0.0,0.0,5549943.000000004,8711405.000000011,0.0,0.0,1
1997,8,31022100-0,31493421.000000045,23431878.000000034,0.0,16443023.000000011,27168176.00000006,0.0,0.0,3
1997,8,31042090-0,10893080.000000007,0.0,0.0,5549943.000000004,8711405.000000011,0.0,0.0,1
1997,8,31042090-0,28207005.000000004,1000000.0000000102,0.0,5549943.000000004,14842837.000000026,0.0,0.0,3
1997,8,31054000-0,12325339.000000035,0.0,0.0,5549943.000000004,8711405.000000011,0.0,0.0,1
1997,8,31054000-0,18456771.00000005,22431878.000000022,0.0,16443023.000000011,21036744.000000045,0.0,0.0,3
1997,9,31021010-0,13539579.000000004,1000000.0000000102,0.0,0.0,6131432.000000014,0.0,0.0,2
1997,9,31022100-0,1000000.0000000102,22431878.000000022,0.0,10893080.000000007,12325339.000000035,0.0,0.0,1
1997,9,31022100-0,9061543.000000022,23431878.000000034,0.0,10893080.000000007,18456771.00000005,0.0,0.0,2
1997,9,31042090-0,17313924.999999996,1000000.0000000102,0.0,0.0,6131432.000000014,0.0,0.0,2
1997,9,31054000-0,6131432.000000014,22431878.000000022,0.0,10893080.000000007,12325339.000000035,0.0,0.0,1
1997,9,31054000-0,6131432.000000014,22431878.000000022,0.0,10893080.000000007,12325339.000000035,0.0,0.0,2
1997,10,31021010-0,13539579.000000004,1000000.0000000102,0.0,0.0,6131432.000000014,0.0,0.0,1
1997,10,31022100-0,8061543.000000011,1000000.0000000102,0.0,0.0,6131432.000000014,0.0,0.0,1
1997,10,31042090-0,17313924.999999996,1000000.0000000102,0.0,0.0,6131432.000000014,0.0,0.0,1
1997,11,31021010-0,2532438.0000000084,8061543.000000011,13539579.000000004,17313924.999999996,0.0,0.0,0.0,1
1997,11,31021010-0,2532438.0000000084,8061543.000000011,13539579.000000004,17313924.999999996,0.0,0.0,0.0,2
1997,11,31021010-0,2532438.0000000084,8061543.000000011,13539579.000000004,17313924.999999996,0.0,0.0,0.0,3
1997,11,31022100-0,4095347.0000000056,0.0,2532438.0000000084,10742192.999999996,10813486.00000002,0.0,0.0,2
1997,11,31022100-0,4095347.0000000056,0.0,2532438.0000000084,10742192.999999996,10813486.00000002,0.0,0.0,3
1997,11,31042090-0,10742192.999999996,8061543.000000011,13539579.000000004,17313924.999999996,0.0,0.0,0.0,1
1997,11,31042090-0,23996495.000000015,8061543.000000011,16072017.000000011,28056117.999999993,10813486.00000002,0.0,0.0,2
1997,11,31042090-0,23996495.000000015,8061543.000000011,16072017.000000011,28056117.999999993,10813486.00000002,0.0,0.0,3
1997,11,31054000-0,10813486.00000002,8061543.000000011,13539579.000000004,17313924.999999996,0.0,0.0,0.0,1
1997,11,31054000-0,18377732.00000003,8061543.000000011,16072017.000000011,28056117.999999993,10813486.00000002,0.0,0.0,2
